10,1,3,,5,6,7,8,9,10
NPS,DN(Ref),OD,Wall Thk,Mass,XS,Schedule,water,total ,unit
[Note (1)],Note 2,mm,mm,kg/m,or XXS,No,kg/m,kg/m,kg/m
20,500,508,38.1,441.52,,120,146.36,587.88,kg/m
20,500,508,44.45,508.15,,140,137.88,646.03,kg/m
20,500,508,50.01,564.85,,160,130.66,695.51,kg/m
22,550,559,4.78,65.33,,5,236.97,302.3,kg/m
22,550,559,5.56,75.89,,,235.63,311.52,kg/m
22,550,559,6.35,86.55,,10,234.27,320.82,kg/m
22,550,559,7.14,97.17,,,232.92,330.09,kg/m
22,550,559,7.92,107.64,,,231.59,339.23,kg/m
22,550,559,8.74,118.6,,,230.19,348.79,kg/m
22,550,559,9.53,129.14,STD,20,228.85,357.99,kg/m
22,550,559,10.31,139.51,,,227.53,367.04,kg/m
22,550,559,11.13,150.38,,,226.15,376.53,kg/m
22,550,559,11.91,160.69,,,224.83,385.52,kg/m
22,550,559,12.7,171.1,XS,30,223.51,394.61,kg/m
22,550,559,14.27,191.7,,,220.88,412.58,kg/m
22,550,559,15.88,212.7,,,218.21,430.91,kg/m
22,550,559,17.48,233.44,,,215.57,449.01,kg/m
22,550,559,19.05,253.67,,,212.99,466.66,kg/m
22,550,559,20.62,273.78,,,210.43,484.21,kg/m
22,550,559,22.23,294.27,,60,207.82,502.09,kg/m
22,550,559,23.83,314.51,,,205.25,519.76,kg/m
22,550,559,25.4,334.25,,,202.73,536.98,kg/m
22,550,559,26.97,353.86,,,200.24,554.1,kg/m
22,550,559,28.58,373.85,,80,197.69,571.54,kg/m
22,550,559,30.18,393.59,,,195.18,588.77,kg/m
22,550,559,31.75,412.84,,,192.73,605.57,kg/m
22,550,559,33.32,431.96,,,190.29,622.25,kg/m
22,550,559,34.93,451.45,,100,187.81,639.26,kg/m
22,550,559,36.53,470.69,,,185.36,656.05,kg/m
22,550,559,38.1,489.44,,,182.98,672.42,kg/m
22,550,559,41.28,527.05,,120,178.19,705.24,kg/m
22,550,559,47.63,600.67,,140,168.81,769.48,kg/m
22,550,559,53.98,672.3,,160,159.69,831.99,kg/m
24,600,610,5.54,82.58,,5,281.58,364.16,kg/m
24,600,610,6.35,94.53,,10,280.06,374.59,kg/m
24,600,610,7.14,106.15,,,278.58,384.73,kg/m
24,600,610,7.92,117.6,,,277.12,394.72,kg/m
24,600,610,8.74,129.6,,,275.59,405.19,kg/m
24,600,610,9.53,141.12,STD,20,274.12,415.24,kg/m
24,600,610,10.31,152.48,,,272.68,425.16,kg/m
24,600,610,11.13,164.38,,,271.16,435.54,kg/m
24,600,610,11.91,175.67,,,269.73,445.4,kg/m
24,600,610,12.7,187.07,XS,,268.27,455.34,kg/m
24,600,610,14.27,209.65,,30,265.4,475.05,kg/m
24,600,610,15.88,232.67,,,262.47,495.14,kg/m
24,600,610,17.48,255.43,,40,259.57,515,kg/m
24,600,610,19.05,277.63,,,256.74,534.37,kg/m
24,600,610,20.62,299.71,,,253.93,553.64,kg/m
24,600,610,22.23,322.23,,,251.07,573.3,kg/m
24,600,610,23.83,344.48,,,248.23,592.71,kg/m
24,600,610,24.61,355.28,,60,246.86,602.14,kg/m
24,600,610,25.4,366.19,,,245.47,611.66,kg/m
24,600,610,26.97,387.79,,,242.72,630.51,kg/m
24,600,610,28.58,409.8,,,239.92,649.72,kg/m
24,600,610,30.18,431.55,,,237.15,668.7,kg/m
24,600,610,30.96,442.11,,80,235.8,677.91,kg/m
24,600,610,31.75,452.77,,,234.44,687.21,kg/m
24,600,610,33.32,473.87,,,231.76,705.63,kg/m
24,600,610,34.93,495.38,,,229.02,724.4,kg/m
24,600,610,36.53,516.63,,,226.31,742.94,kg/m
24,600,610,38.1,537.36,,,223.67,761.03,kg/m
24,600,610,38.89,547.74,,100,222.35,770.09,kg/m
24,600,610,39.67,557.97,,,221.05,779.02,kg/m
24,600,610,46.02,640.07,,120,210.6,850.67,kg/m
24,600,610,52.37,720.19,,140,200.4,920.59,kg/m
24,600,610,59.54,808.27,,160,189.18,997.45,kg/m
26,650,660,6.35,102.36,,,328.91,431.27,kg/m
26,650,660,7.14,114.96,,,327.3,442.26,kg/m
26,650,660,7.92,127.36,,10,325.72,453.08,kg/m
26,650,660,8.74,140.37,,,324.07,464.44,kg/m
26,650,660,9.53,152.88,STD,,322.48,475.36,kg/m
26,650,660,10.31,165.19,,,320.91,486.1,kg/m
26,650,660,11.13,178.1,,,319.26,497.36,kg/m
26,650,660,11.91,190.36,,,317.7,508.06,kg/m
26,650,660,12.7,202.74,XS,20,316.13,518.87,kg/m
